,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City
79,7.7669,-72.225,25.1,97,39,1.96,VE,1626831905,san cristobal
80,-33.9258,18.4232,11.05,80,75,1.79,ZA,1626831906,cape town
81,65.5833,-171.0,6.53,90,100,3.5,RU,1626831906,lavrentiya
82,-38.0023,-57.5575,10.07,54,0,1.34,AR,1626831757,mar del plata
83,27.9095,-97.15,29.43,81,1,2.68,US,1626831906,aransas pass
84,60.9167,-46.05,8.12,99,100,1.09,GL,1626831907,qaqortoq
85,38.5167,-28.7,20.45,80,37,7.02,PT,1626831907,ribeira grande
86,-42.8794,147.3294,12.37,61,75,0.89,AU,1626831908,hobart
87,-0.6,73.0833,27.49,77,100,5.56,MV,1626831908,hithadhoo
88,67.45,153.6833,21.0,57,92,6.81,RU,1626831909,srednekolymsk
89,-24.4,23.8833,8.09,32,1,3.53,BW,1626831909,sekoma
90,73.5069,80.5464,8.14,67,100,6.58,RU,1626831909,dikson
91,-30.1811,-50.2056,9.87,73,31,2.59,BR,1626831910,cidreira
92,42.2506,-75.833,21.48,92,90,0.89,US,1626831910,binghamton
93,46.4856,135.8833,28.11,65,85,1.08,RU,1626831910,vostok
94,40.8021,-124.1637,18.4,77,60,2.68,US,1626831911,eureka
95,28.017,-97.5169,30.3,72,54,3.38,US,1626831911,portland
96,-17.7125,-39.2481,21.8,67,100,4.73,BR,1626831911,caravelas
97,60.7522,-137.5108,25.97,34,30,3.09,CA,1626831912,haines junction
98,-20.2078,57.7625,21.72,65,9,8.52,MU,1626831912,quatre cocos
99,29.0361,114.5636,30.95,69,100,0.59,CN,1626831912,puqi
100,47.6666,-52.7314,19.86,97,90,7.72,CA,1626831913,torbay
101,-0.9492,100.3543,28.03,72,100,0.1,ID,1626831913,padang
102,68.2191,-135.0107,29.46,25,8,3.72,CA,1626831914,aklavik
103,41.2547,67.9692,26.83,37,21,1.9,KZ,1626831914,chardara
104,22.8909,-109.9124,34.17,66,3,5.91,MX,1626831908,cabo san lucas
105,19.2167,-98.8083,17.79,90,100,1.15,MX,1626831915,tlalmanalco
106,-25.2406,130.9889,17.91,36,5,5.14,AU,1626831915,yulara
107,19.3003,97.9685,26.08,89,75,1.03,TH,1626831915,mae hong son
108,25.9833,76.3667,26.57,81,99,5.19,IN,1626831916,sawai madhopur
109,-20.3428,57.7575,21.79,64,40,8.23,MU,1626831916,bambous virieux
110,-29.9533,-71.3436,10.85,93,75,1.03,CL,1626831916,coquimbo
111,19.7297,-155.09,25.14,88,90,3.09,US,1626831724,hilo
112,68.0531,39.5131,7.68,82,100,6.27,RU,1626831917,ostrovnoy
113,-10.1667,123.5833,30.32,54,20,7.2,ID,1626831917,kupang
114,-8.9266,125.4092,21.95,48,14,2.52,TL,1626831918,atambua
115,-28.4675,30.1551,6.56,31,3,1.87,ZA,1626831918,ekuvukeni
116,-22.9661,-42.0278,18.33,65,56,3.68,BR,1626831918,arraial do cabo
117,29.0331,21.5482,24.28,67,0,4.39,LY,1626831919,jalu
118,64.8945,-23.7142,11.03,96,100,8.02,IS,1626831919,olafsvik
119,68.75,161.3,18.87,40,60,3.52,RU,1626831919,cherskiy
120,-37.6167,-73.65,11.2,95,100,3.3,CL,1626831919,lebu
121,33.7333,135.9833,29.55,71,86,4.4,JP,1626831920,shingu
122,-16.4833,-151.75,25.95,76,25,9.91,PF,1626831920,faanui
123,-24.8667,113.6333,22.04,68,75,4.12,AU,1626831920,carnarvon
124,52.4201,136.4853,29.82,56,71,3.13,RU,1626831921,imeni poliny osipenko
125,60.5544,-151.2583,15.57,96,90,2.06,US,1626831803,kenai
126,41.7057,-70.2286,24.26,91,1,0.89,US,1626831921,yarmouth
127,6.7085,121.9711,30.03,65,88,1.12,PH,1626831922,isabela
128,49.8167,-94.4337,19.54,72,90,2.06,CA,1626831922,kenora
129,-11.0964,-77.6139,17.62,79,1,2.78,PE,1626831922,huacho
130,59.7035,30.7861,13.0,97,38,1.83,RU,1626831923,ulyanovka
131,20.4487,121.9702,28.43,76,75,7.78,PH,1626831923,basco
132,-3.4167,114.85,27.05,83,100,3.09,ID,1626831923,martapura
133,71.0357,27.8492,6.21,94,100,10.66,NO,1626831924,mehamn
134,14.3122,121.1114,25.99,84,100,6.32,PH,1626831924,santa rosa
135,39.5696,3.2096,24.07,71,0,1.68,ES,1626831925,manacor
136,7.9803,49.8164,25.09,67,9,8.54,SO,1626831925,eyl
137,14.9215,-23.5087,24.3,83,75,1.03,CV,1626831925,praia
138,52.892,45.3928,20.9,88,82,1.45,RU,1626831926,shemysheyka
139,64.2539,-15.2082,14.42,63,3,2.62,IS,1626831926,hofn
140,43.5528,141.9064,28.12,46,88,0.52,JP,1626831926,takikawa
141,71.9167,114.0833,12.34,82,100,5.15,RU,1626831927,saskylakh
142,-41.1456,-71.3082,4.86,75,75,2.57,AR,1626831927,san carlos de bariloche
143,59.2353,163.0719,17.27,76,40,3.77,RU,1626831928,ossora
144,-24.7911,-50.0119,6.72,63,100,0.89,BR,1626831928,castro
145,69.7008,170.3133,5.8,73,97,3.13,RU,1626831928,pevek
146,1.7427,98.7792,28.0,72,72,0.66,ID,1626831929,sibolga
147,8.9193,-74.4677,25.72,88,4,1.24,CO,1626831929,pinillos
148,-1.8333,-65.3667,22.27,93,28,0.48,BR,1626831930,maraa
149,38.5106,-1.701,21.88,66,54,1.3,ES,1626831930,hellin
150,55.7435,-97.8558,22.24,48,0,1.97,CA,1626831931,thompson
151,-34.7167,-55.95,11.1,66,0,3.6,UY,1626831931,pando
152,41.3712,-73.414,24.87,88,1,1.54,US,1626831774,danbury
153,33.194,-82.5271,23.73,92,100,3.36,US,1626831931,evans
154,-6.6024,147.8681,28.65,68,49,4.47,PG,1626831932,finschhafen
155,7.5264,-12.505,24.76,85,100,4.65,SL,1626831932,bonthe
156,78.2186,15.6401,3.91,81,75,0.51,SJ,1626831933,longyearbyen
157,62.2266,-6.589,10.51,96,59,4.32,FO,1626831933,klaksvik
158,7.3667,12.65,17.94,96,100,0.74,CM,1626831934,tignere
159,43.5547,-5.9248,19.4,86,90,1.34,ES,1626831935,aviles
160,21.2311,-86.731,27.86,84,0,3.76,MX,1626831935,isla mujeres
161,-20.7377,116.8463,25.0,56,11,3.38,AU,1626831935,karratha
162,-12.0432,-77.0282,17.14,77,90,2.57,PE,1626831580,lima
163,-21.3393,55.4781,20.8,70,0,3.09,RE,1626831936,saint-pierre
164,50.1001,-91.917,20.21,52,75,0.0,CA,1626831761,sioux lookout
165,46.8333,40.75,24.43,66,1,2.0,RU,1626831936,yegorlykskaya
166,-19.0595,-169.9187,26.94,69,40,5.66,NU,1626831937,alofi
167,-5.1833,-68.9,22.49,72,54,1.14,BR,1626831937,jutai
168,12.7797,101.6483,30.53,87,100,4.44,TH,1626831844,klaeng
169,-0.8833,131.25,27.13,78,100,2.63,ID,1626831937,sorong
170,-5.9475,29.1947,20.29,54,4,0.78,CD,1626831938,kalemie
171,-20.4081,57.7,21.81,64,40,8.23,MU,1626831938,mahebourg
172,39.4816,62.9137,31.72,16,6,2.12,TM,1626831938,seydi
173,35.7333,140.8333,32.94,69,62,3.59,JP,1626831939,hasaki
174,57.79,-152.4072,13.01,91,100,2.94,US,1626831939,kodiak
175,66.7697,123.3711,17.61,53,100,7.38,RU,1626831940,zhigansk
176,63.8424,-22.4338,11.26,100,90,6.69,IS,1626831940,grindavik
177,48.0056,91.6419,21.79,35,0,1.11,MN,1626831940,ulaangom
178,4.9247,6.2642,23.03,88,36,1.74,NG,1626831941,yenagoa
179,-11.705,-76.2686,5.43,89,61,1.57,PE,1626831941,chicla
180,-17.9167,15.95,11.0,46,0,1.54,NA,1626831941,ondangwa
181,0.8,127.4,28.13,72,58,2.04,ID,1626831942,ternate
182,-7.05,113.9333,27.99,69,91,5.35,ID,1626831942,kalianget
183,70.8578,29.0864,5.73,94,100,6.8,NO,1626831942,berlevag
184,-0.7193,8.7815,23.61,77,91,4.77,GA,1626831943,port-gentil
185,50.4638,-3.5143,19.76,90,2,1.34,GB,1626831857,torquay
186,47.875,-3.9225,21.44,83,0,3.49,FR,1626831943,concarneau
187,24.1447,67.4497,28.57,85,100,11.74,PK,1626831944,keti bandar
188,62.7161,129.6658,20.06,81,100,2.3,RU,1626831944,namtsy
189,18.9667,-96.7167,26.01,96,54,0.85,MX,1626831944,paso del macho
190,42.8,93.45,25.24,46,44,3.53,CN,1626831945,hami
191,38.8114,-89.9532,26.99,79,1,2.06,US,1626831945,edwardsville
192,-34.75,149.7167,10.36,44,6,5.02,AU,1626831946,goulburn
193,53.2831,92.4003,19.94,82,26,1.1,RU,1626831946,yermakovskoye
194,39.9199,32.8543,22.89,49,0,2.06,TR,1626831946,ankara
195,-45.8742,170.5036,10.45,63,100,2.68,NZ,1626831946,dunedin
196,47.8667,88.1167,27.7,22,1,1.03,CN,1626831947,altay
197,-28.783,32.0377,15.35,27,0,3.09,ZA,1626831947,richards bay
198,54.3161,-130.3201,16.83,84,90,2.06,CA,1626831929,prince rupert
199,-20.5167,57.5167,21.87,64,40,8.23,MU,1626831947,souillac
200,42.9019,133.9064,25.73,77,100,2.02,RU,1626831948,preobrazheniye
201,-21.2,-175.2,27.09,83,40,4.12,TO,1626831948,vaini
202,35.3667,132.7667,30.94,70,75,4.63,JP,1626831949,izumo
203,31.4638,-100.437,29.24,43,1,1.79,US,1626831949,san angelo
204,41.1231,80.2644,25.6,40,100,2.42,CN,1626831950,aksu
205,-22.2833,44.5167,16.93,77,0,2.12,MG,1626831950,ankazoabo
206,2.3,111.8167,28.17,78,20,2.24,MY,1626831950,sibu
207,-10.2129,31.1808,9.8,71,0,0.97,ZM,1626831950,kasama
208,5.6667,73.0,28.33,74,99,6.69,MV,1626831951,ugoofaaru
209,-33.6971,-53.4616,6.82,83,1,3.71,UY,1626831952,chuy
210,48.6758,24.4138,14.4,98,100,3.11,UA,1626831952,markova
211,-19.8436,34.8389,17.05,93,20,2.68,MZ,1626831952,beira
212,28.5004,-13.8627,20.86,78,37,8.23,ES,1626831953,puerto del rosario
213,69.6496,18.957,8.36,81,75,2.24,NO,1626831953,tromso
214,59.5833,151.2833,14.33,83,95,4.99,RU,1626831953,ola
215,51.3674,110.4676,14.95,99,100,1.39,RU,1626831954,khilok
216,45.2501,-81.6665,15.17,67,6,7.63,CA,1626831954,wiarton
217,64.5011,-165.4064,10.04,87,90,6.17,US,1626831922,nome
218,-33.295,-66.3356,11.04,32,10,3.0,AR,1626831954,san luis
219,11.2126,99.5117,28.3,80,100,4.01,TH,1626831955,bang saphan
220,-34.5833,150.8552,15.1,47,99,1.79,AU,1626831955,kiama
221,-45.8667,-67.5,8.92,66,0,3.09,AR,1626831901,comodoro rivadavia
222,62.6667,135.6,29.18,43,100,3.16,RU,1626831956,khandyga
223,-25.1667,45.05,19.84,63,29,2.11,MG,1626831956,beloha
224,5.5577,95.3222,28.39,72,99,7.08,ID,1626831956,banda aceh
225,14.8961,-24.4956,23.13,86,29,1.72,CV,1626831957,sao filipe
226,28.5202,68.5434,32.7,60,0,6.62,PK,1626831957,sohbatpur
227,17.9833,-102.2333,27.24,82,100,1.49,MX,1626831957,la orilla
228,18.3851,42.4509,18.06,79,100,3.42,SA,1626831958,abha
229,41.5,33.6667,16.96,86,0,1.97,TR,1626831958,kastamonu
230,36.0584,-90.4973,26.9,76,0,3.57,US,1626831958,paragould
231,-9.8756,-56.0861,21.92,44,0,1.76,BR,1626831958,alta floresta
232,22.2855,114.1577,27.2,94,100,4.92,HK,1626831939,shenzhen
233,6.6221,73.07,28.23,74,99,6.97,MV,1626831959,kulhudhuffushi
234,-20.0637,30.8277,10.61,61,1,1.32,ZW,1626831959,masvingo
235,12.3429,-83.6712,26.21,88,73,5.55,NI,1626831960,laguna de perlas
236,-1.195,-46.02,23.6,94,10,2.64,BR,1626831960,carutapera
237,6.189,-67.4859,24.94,88,100,1.53,CO,1626831961,puerto carreno
238,7.0627,-1.4001,20.93,92,92,3.11,GH,1626831961,mampong
239,51.0736,132.5642,28.72,62,19,3.34,RU,1626831961,novyy urgal
240,39.3558,-9.3811,18.27,86,89,7.73,PT,1626831962,peniche
241,42.0304,-8.1588,13.75,93,3,1.17,PT,1626831962,mozelos
242,-24.7,44.75,19.58,64,6,2.75,MG,1626831963,ampanihy
243,47.4235,-120.3103,34.22,21,1,1.34,US,1626831853,wenatchee
244,46.4535,16.991,15.77,57,85,2.98,HU,1626831963,nagykanizsa
245,-21.1333,164.9,24.85,54,9,3.64,NC,1626831964,pouembout
246,55.8732,72.1967,19.42,67,7,2.63,RU,1626831964,tyukalinsk
247,54.4299,31.8996,13.35,68,100,2.45,RU,1626831964,monastyrshchina
248,10.3399,-68.7425,22.14,99,84,1.02,VE,1626831965,san felipe
249,27.0167,-108.9333,32.62,79,100,3.1,MX,1626831965,alamos
250,-8.103,156.8419,27.35,80,89,4.71,SB,1626831965,gizo
251,21.4267,39.8261,27.31,79,10,4.99,SA,1626831966,mecca
252,49.0,-1.1667,15.67,89,5,1.37,FR,1626831966,saint-lo
253,58.7525,42.6825,11.89,79,16,1.88,RU,1626831966,chukhloma
254,50.5994,97.5228,19.35,62,42,0.27,RU,1626831967,kungurtug
255,52.0568,-2.7148,20.7,58,0,1.64,GB,1626831967,hereford
256,-5.795,-35.2094,24.36,83,20,2.57,BR,1626831968,natal
257,43.1009,-75.2327,19.49,97,69,0.29,US,1626831968,utica
258,17.35,-62.7333,27.74,79,68,8.54,KN,1626831967,cayon
259,18.4423,-73.0876,27.26,76,79,3.23,HT,1626831968,miragoane
260,64.8378,-147.7164,31.0,29,1,5.66,US,1626831969,fairbanks
261,34.6391,-120.4579,26.5,76,1,6.69,US,1626831969,lompoc
262,-20.3297,-40.2925,17.97,72,40,1.54,BR,1626831821,vila velha
263,31.6315,-8.0083,25.04,44,0,2.06,MA,1626831851,marrakesh
264,63.8567,57.3094,14.79,63,64,1.51,RU,1626831970,vuktyl
265,-20.1,146.2667,21.16,24,31,6.5,AU,1626831970,charters towers
266,-15.1961,12.1522,17.34,90,0,1.24,AO,1626831971,namibe
267,-1.9175,-55.5181,25.68,73,32,1.3,BR,1626831971,obidos
268,7.0419,134.2556,30.28,74,35,4.51,PW,1626831972,kloulklubed
269,4.8699,-2.2405,23.74,80,6,3.01,GH,1626831972,axim
270,63.2909,18.7153,9.53,76,0,6.17,SE,1626831973,ornskoldsvik
271,-35.6167,174.5,15.65,90,100,7.93,NZ,1626831973,ngunguru
272,-17.7333,-149.15,29.01,80,24,9.7,PF,1626831973,tautira
273,-13.8483,136.4192,25.93,44,13,4.63,AU,1626831974,alyangula
274,61.994,-49.6678,6.61,90,100,3.41,GL,1626831974,paamiut
275,22.5667,59.5289,31.89,60,79,4.94,OM,1626831974,sur
276,-19.55,169.2667,29.06,70,40,2.57,VU,1626831975,isangel
277,63.05,179.3167,7.24,85,100,4.38,RU,1626831975,beringovskiy
278,-13.8354,-171.9796,27.65,71,23,8.94,WS,1626831975,satapuala
279,45.3167,55.2,30.39,33,4,3.97,KZ,1626831976,beyneu
280,-28.7001,26.4597,4.67,52,100,3.48,ZA,1626831976,brandfort
281,42.4308,130.6434,26.79,81,92,1.92,RU,1626831976,khasan
282,31.7167,-116.5667,23.99,68,32,3.04,MX,1626831977,maneadero
283,-16.92,35.262,17.09,81,0,0.9,MW,1626831977,nsanje
284,-45.4167,167.7167,8.62,87,100,1.0,NZ,1626831977,te anau
285,40.8,-96.667,27.69,66,1,0.45,US,1626831902,lincoln
286,65.4167,-52.9,5.91,82,53,1.05,GL,1626831978,maniitsoq
287,71.9667,102.5,14.6,77,100,5.76,RU,1626831978,khatanga
288,56.6709,124.6491,21.46,75,51,4.13,RU,1626831925,neryungri
289,13.2167,-59.5167,27.34,78,40,8.75,BB,1626831978,bathsheba
290,28.1667,94.7667,27.04,89,100,0.23,IN,1626831979,along
291,34.9833,139.8667,31.01,69,19,1.67,JP,1626831979,tateyama
292,28.6585,-17.9182,19.86,88,90,7.2,ES,1626831979,los llanos de aridane
293,-16.0999,167.4164,28.04,67,14,2.06,VU,1626831980,lakatoro
294,20.8947,-156.47,30.01,64,40,9.77,US,1626831980,kahului
295,-35.1667,173.1667,15.54,84,100,6.96,NZ,1626831981,ahipara
296,20.5022,-10.0711,33.1,10,11,7.3,MR,1626831981,atar
297,50.6996,-127.4199,16.1,72,75,2.57,CA,1626831907,port hardy
298,-41.8697,-73.8203,10.74,95,100,1.86,CL,1626831981,ancud
299,-12.0667,134.2667,28.95,28,68,5.28,AU,1626831982,maningrida
300,46.6806,113.2792,32.1,34,4,6.16,MN,1626831982,baruun-urt
301,-22.9337,26.5703,9.38,42,0,1.44,BW,1626831982,kalamare
302,50.0334,-66.8654,15.97,60,100,3.1,CA,1626831983,port-cartier
303,5.0268,118.327,29.42,70,81,2.68,MY,1626831983,lahad datu
304,69.4719,25.5112,7.06,94,100,7.87,NO,1626831983,karasjok
305,43.04,44.5708,17.12,88,0,2.0,RU,1626831984,gizel
306,-34.6667,-54.9167,10.68,73,10,5.1,UY,1626831984,san carlos
307,70.9963,24.6622,6.49,94,100,13.41,NO,1626831984,havoysund
308,61.9875,5.1352,9.37,74,18,4.69,NO,1626831985,raudeberg
309,43.6475,111.9767,29.84,37,3,4.74,CN,1626831985,erenhot
310,43.4647,-3.8044,19.99,92,90,2.24,ES,1626831986,santander
311,37.7333,-25.6667,20.4,88,20,5.66,PT,1626831738,ponta delgada
312,18.9048,-3.5265,35.04,26,69,6.19,ML,1626831986,araouane
313,-2.0226,147.2712,28.95,71,75,1.72,PG,1626831986,lorengau
314,57.6409,18.296,13.2,100,8,1.03,SE,1626831987,visby
315,11.2833,-15.8333,27.52,79,100,6.45,GW,1626831987,bubaque
316,-34.4833,-54.3333,7.5,72,6,3.89,UY,1626831867,rocha
317,-5.6667,132.75,26.91,78,52,9.66,ID,1626831988,tual
318,45.0917,133.5136,31.37,56,74,1.41,RU,1626831988,kirovskiy
319,20.8667,-90.4,27.57,78,23,6.08,MX,1626831989,celestun
320,22.95,-102.05,23.14,33,56,4.77,MX,1626831989,los zacatones
321,22.2394,68.9678,28.33,82,100,11.68,IN,1626831989,dwarka
322,-15.7667,128.7333,27.99,16,100,4.12,AU,1626831989,kununurra
323,51.7026,30.6569,18.02,83,100,2.96,UA,1626831990,lyubech
324,19.8,85.85,28.54,78,100,3.46,IN,1626831990,puri
325,13.9297,41.6925,30.86,53,100,3.27,ER,1626831990,edd
326,39.05,-27.9833,19.82,82,7,8.64,PT,1626831991,lagoa
327,34.9311,43.487,33.62,21,0,5.14,IQ,1626831991,bayji
328,13.7667,109.2333,30.85,60,93,7.67,VN,1626831848,qui nhon
329,61.67,96.37,15.58,75,100,0.34,RU,1626831992,baykit
330,-38.2667,141.9667,11.57,79,97,5.28,AU,1626831992,portland
331,64.3833,-173.3,13.06,62,90,3.0,RU,1626831993,provideniya
332,69.2167,-51.1,11.01,43,20,3.09,GL,1626831993,ilulissat
333,36.7281,-91.8524,25.46,79,1,0.0,US,1626831993,west plains
334,27.0998,-82.4543,30.0,79,20,1.54,US,1626831944,venice
335,53.75,127.2667,22.58,78,100,0.98,RU,1626831994,zeya
336,0.5333,72.9333,27.82,73,80,3.27,MV,1626831994,thinadhoo
337,50.1018,136.5094,29.17,54,99,4.14,RU,1626831994,elban
338,-4.2714,-81.2147,17.64,87,11,6.65,PE,1626831995,el alto
339,64.1835,-51.7216,9.34,71,75,2.57,GL,1626831995,nuuk
340,6.1241,81.1185,26.19,89,20,4.12,LK,1626831995,hambantota
341,65.7,82.4667,16.69,55,0,2.09,RU,1626831996,krasnoselkup
342,11.3832,-72.2432,26.83,77,25,9.93,CO,1626831996,maicao
343,38.7333,-27.0667,20.42,88,20,4.75,PT,1626831996,praia da vitoria
344,10.5669,72.642,27.87,81,100,8.6,IN,1626831997,kavaratti
345,13.35,-15.75,26.64,84,98,2.79,GM,1626831997,farafenni
346,62.8833,152.4333,27.69,35,93,1.84,RU,1626831998,seymchan
347,66.9395,-53.6735,7.42,84,100,1.93,GL,1626831998,sisimiut
348,-3.6667,152.4333,28.49,73,100,2.51,PG,1626831998,namatanai
349,69.3833,178.4167,3.3,72,17,4.35,RU,1626831999,leningradskiy
350,-5.1989,-35.4608,24.5,84,1,6.18,BR,1626831999,touros
351,17.1612,104.1472,27.97,74,75,4.63,TH,1626831999,sakhon nakhon
352,15.85,-97.0667,27.29,79,100,1.51,MX,1626832000,puerto escondido
353,70.9821,25.9704,6.72,91,100,14.03,NO,1626832000,honningsvag
354,40.5982,-124.1573,25.66,68,90,4.02,US,1626832001,fortuna
355,3.8667,11.5167,21.74,88,40,1.54,CM,1626831917,yaounde
356,70.3705,31.1107,6.17,86,100,6.32,NO,1626832001,vardo
357,-21.15,55.2833,20.46,69,7,1.56,RE,1626832002,saint-leu
358,1.1667,108.9667,28.44,79,89,3.74,ID,1626832002,pemangkat
359,8.6011,124.4658,32.4,62,100,3.29,PH,1626832002,moog
360,-6.2,36.4167,14.01,87,2,1.81,TZ,1626832003,kongwa
361,-9.0122,-35.2225,23.57,82,4,3.93,BR,1626832003,maragogi
362,64.2273,27.7285,10.03,71,0,3.6,FI,1626832004,kajaani
363,16.8634,-99.8901,27.86,83,32,3.35,MX,1626831761,acapulco
364,45.6169,-61.3485,19.97,97,40,0.0,CA,1626832004,port hawkesbury
365,11.2408,-74.199,31.03,62,40,3.09,CO,1626831712,santa marta
366,60.1432,-45.2371,7.92,96,100,6.95,GL,1626832005,nanortalik
367,30.3,108.85,24.4,73,94,1.46,CN,1626832005,lichuan
368,49.0333,104.0833,11.86,97,100,1.45,MN,1626832005,erdenet
369,67.6803,53.1512,14.06,72,100,3.64,RU,1626832006,iskateley
